iter	Passed	Remaining
543	2216	1857
544	2222	1855
545	2224	1849
546	2225	1843
547	2227	1837
548	2230	1831
549	2234	1828
550	2236	1822
551	2238	1817
552	2240	1811
553	2243	1805
554	2245	1800
555	2246	1794
556	2251	1790
557	2254	1785
558	2256	1779
559	2257	1774
560	2259	1768
561	2261	1762
562	2267	1760
563	2269	1754
564	2271	1748
565	2273	1743
566	2275	1737
567	2277	1732
568	2282	1729
569	2285	1723
570	2287	1718
571	2288	1712
572	2290	1707
573	2292	1701
574	2297	1697
575	2299	1692
576	2301	1686
577	2303	1681
578	2305	1676
579	2306	1670
580	2308	1665
581	2314	1662
582	2316	1656
583	2318	1651
584	2320	1646
585	2322	1640
586	2324	1635
587	2330	1632
588	2332	1627
589	2334	1622
590	2337	1617
591	2339	1612
592	2343	1608
593	2346	1603
594	2348	1598
595	2350	1593
596	2353	1588
597	2355	1583
598	2361	1580
599	2363	1575
600	2366	1571
601	2369	1566
602	2375	1564
603	2377	1559
604	2380	1554
605	2382	1549
606	2385	1544
607	2390	1541
608	2392	1536
609	2395	1531
610	2397	1526
611	2400	1521
612	2407	1519
613	2409	1514
614	2412	1510
615	2414	1505
616	2417	1500
617	2422	1497
618	2426	1493
619	2429	1489
620	2432	1484
621	2437	1481
622	2440	1476
623	2443	1472
624	2445	1467
625	2447	1462
626	2452	1459
627	2456	1454
628	2458	1450
629	2461	1445
630	2476	1448
631	2478	1443
632	2480	1438
633	2484	1434
634	2486	1429
635	2488	1424
636	2490	1419
637	2492	1414
638	2494	1409
639	2496	1404
640	2502	1401
641	2504	1396
642	2506	1391
643	2508	1386
644	2510	1381
645	2512	1376
646	2517	1373
647	2519	1368
648	2521	1363
649	2523	1358
650	2525	1354
651	2527	1349
652	2532	1345
653	2534	1340
654	2536	1336
655	2538	1331
656	2540	1326
657	2542	1321
658	2548	1318
659	2550	1313
660	2552	1308
661	2554	1304
662	2556	1299
663	2557	1294
664	2563	1291
665	2565	1286
666	2568	1282
667	2570	1277
668	2572	1272
669	2574	1267
670	2579	1264
671	2582	1260
672	2584	1255
673	2586	1251
674	2588	1246
675	2594	1243
676	2596	1238
677	2598	1234
678	2600	1229
679	2602	1224
680	2604	1219
681	2609	1216
682	2611	1212
683	2613	1207
684	2615	1202
685	2617	1198
686	2619	1193
687	2623	1189
688	2626	1185
689	2628	1180
690	2630	1176
691	2632	1171
692	2634	1167
693	2636	1162
694	2642	1159
695	2644	1154
696	2645	1150
697	2647	1145
698	2649	1140
699	2651	1136
700	2657	1133
701	2659	1128
702	2661	1124
703	2663	1119
704	2665	1115
705	2666	1110
706	2671	1107
707	2674	1102
708	2676	1098
709	2678	1093
710	2679	1089
711	2681	1084
712	2688	1082
713	2690	1077
714	2692	1073
715	2694	1068
716	2696	1064
717	2697	1059
718	2702	1056
719	2704	1051
720	2706	1047
721	2708	1042
